layer	condition	metric	mean	ci_low	ci_high	n
17	counterfactual_rationale:alpha=1	rescue_gain	-0.003748574328643304	-0.0066194858505494066	-0.000677076965156529	108
17	counterfactual_rationale:alpha=1	rescue_logp	-0.6320820892298663	-0.6698619203055622	-0.5944522595653932	108
17	counterfactual_rationale:alpha=1	residual_norm	2.9892117690157005	2.3171072586543033	4.165251673827017	108
17	dependency_swap:alpha=1	control_logp	-0.6650551456820082	-0.705955790038462	-0.626858452193577	108
17	dependency_swap:alpha=1	correct_logp	-0.6233305743447056	-0.6602438509464263	-0.5882211353491854	108
17	dependency_swap:alpha=1	necessity_change	-0.003384435756338967	-0.010095947577307623	0.0021470285952091177	108
17	dependency_swap:alpha=1	necessity_logp	-0.6267150101010446	-0.6633430225153764	-0.5906588673729588	108
17	dependency_swap:alpha=1	paired_logp_gap	0.04172457133730253	0.03107576504073761	0.053746248878262654	108
17	dependency_swap:alpha=1	random_gain	-0.0025928132236003876	-0.006003440271511121	0.00020907073868093576	108
17	dependency_swap:alpha=1	rescue_gain	-0.0005272320575184292	-0.0054682094155362355	0.004287326867105783	108
17	dependency_swap:alpha=1	rescue_logp	-0.6655823777395266	-0.7062178359263472	-0.6258169735816342	108
17	dependency_swap:alpha=1	residual_norm	4.486715513247031	3.4256825363194503	6.010130465610156	108
17	locally_corrupted:alpha=1	control_logp	-0.6236817029615244	-0.6589205212097753	-0.586434922474264	108
17	locally_corrupted:alpha=1	correct_logp	-0.6233305743447056	-0.6582516710377401	-0.5870383477424858	108
17	locally_corrupted:alpha=1	necessity_change	0.0014275402106620648	-0.0003278729816277822	0.003216685192590506	108
17	locally_corrupted:alpha=1	necessity_logp	-0.6219030341340436	-0.6593594694717063	-0.585450694344386	108
17	locally_corrupted:alpha=1	paired_logp_gap	0.00035112861681867527	-0.0028245007274327457	0.003928434655622197	108
17	locally_corrupted:alpha=1	random_gain	-0.000190207251796016	-0.0009410925416482819	0.0005369610739526917	108
17	locally_corrupted:alpha=1	rescue_gain	-0.0010904294473153572	-0.0031481786044659436	0.0010519191829694602	108
17	locally_corrupted:alpha=1	rescue_logp	-0.6247721324088397	-0.6603120634780714	-0.5868427544383816	108
17	locally_corrupted:alpha=1	residual_norm	1.435214669616134	1.284465348361819	1.5841227855257414	108
19	counterfactual_rationale:alpha=1	control_logp	-0.628333514901223	-0.6656026868322106	-0.5922267414836421	108
19	counterfactual_rationale:alpha=1	correct_logp	-0.6233305743447056	-0.65987897011003	-0.5876459405447045	108
19	counterfactual_rationale:alpha=1	necessity_change	0.004311674308997614	0.0004988523269141163	0.007553409609115785	108
19	counterfactual_rationale:alpha=1	necessity_logp	-0.619018900035708	-0.6529733453911764	-0.58369841709802	108
19	counterfactual_rationale:alpha=1	paired_logp_gap	0.005002940556517354	-0.0002524065612642853	0.011695964682709288	108
